cat_id,cat_parent,category,count_offers,timebank,timestamp
6,8,Classes,1,lincolnskillshare,2019-01-22 09:37:50
62,8,Crafts,1,lincolnskillshare,2019-01-22 09:37:50
64,8,Lessons,1,lincolnskillshare,2019-01-22 09:37:50
0,is_parent,Business Services,1,lincolnskillshare,2019-01-22 09:37:50
77,0,Financial,1,lincolnskillshare,2019-01-22 09:37:50
4,is_parent,Community Activities,2,lincolnskillshare,2019-01-22 09:37:50
33,4,Clean-up / Recycling,1,lincolnskillshare,2019-01-22 09:37:50
34,4,Community Service,1,lincolnskillshare,2019-01-22 09:37:50
36,4,Help Our TimeBank!,1,lincolnskillshare,2019-01-22 09:37:50
3,is_parent,Companionship,0,lincolnskillshare,2019-01-22 09:37:50
7,is_parent,Education,4,lincolnskillshare,2019-01-22 09:37:50
55,7,Classes / Workshops,1,lincolnskillshare,2019-01-22 09:37:50
56,7,Computers / Technology,2,lincolnskillshare,2019-01-22 09:37:50
57,7,Languages / Translation,1,lincolnskillshare,2019-01-22 09:37:50
58,7,Personal Finances,1,lincolnskillshare,2019-01-22 09:37:50
2,is_parent,Help At Home,3,lincolnskillshare,2019-01-22 09:37:50
25,2,Miscellaneous,1,lincolnskillshare,2019-01-22 09:37:50
23,2,Pet Care,2,lincolnskillshare,2019-01-22 09:37:50
9,is_parent,Home,0,lincolnskillshare,2019-01-22 09:37:50
8,is_parent,"Arts, Crafts & Music",0,nzcentralpermaculture,2019-01-22 09:37:50
0,is_parent,Business Services,0,nzcentralpermaculture,2019-01-22 09:37:50
4,is_parent,Community Activities,0,nzcentralpermaculture,2019-01-22 09:37:50
3,is_parent,Companionship,0,nzcentralpermaculture,2019-01-22 09:37:50
7,is_parent,Education,0,nzcentralpermaculture,2019-01-22 09:37:50
2,is_parent,Help At Home,0,nzcentralpermaculture,2019-01-22 09:37:50
9,is_parent,Home,0,nzcentralpermaculture,2019-01-22 09:37:50
8,is_parent,"Arts, Crafts & Music",0,changexchange,2019-01-22 09:37:50
0,is_parent,Business Services,0,changexchange,2019-01-22 09:37:50
4,is_parent,Community Activities,0,changexchange,2019-01-22 09:37:50
3,is_parent,Companionship,0,changexchange,2019-01-22 09:37:50
7,is_parent,Education,0,changexchange,2019-01-22 09:37:50
2,is_parent,Help At Home,0,changexchange,2019-01-22 09:37:50
9,is_parent,Home,0,changexchange,2019-01-22 09:37:50
8,is_parent,"Arts, Crafts & Music",0,circlenomic,2019-01-22 09:37:50
0,is_parent,Business Services,0,circlenomic,2019-01-22 09:37:50
4,is_parent,Community Activities,0,circlenomic,2019-01-22 09:37:50
3,is_parent,Companionship,0,circlenomic,2019-01-22 09:37:50
7,is_parent,Education,0,circlenomic,2019-01-22 09:37:50
2,is_parent,Help At Home,0,circlenomic,2019-01-22 09:37:50
9,is_parent,Home,0,circlenomic,2019-01-22 09:37:50
8,is_parent,"Arts, Crafts & Music",1,citypark,2019-01-22 09:37:50
67,8,Miscellaneous,1,citypark,2019-01-22 09:37:50
0,is_parent,Business Services,0,citypark,2019-01-22 09:37:50
4,is_parent,Community Activities,0,citypark,2019-01-22 09:37:50
3,is_parent,Companionship,0,citypark,2019-01-22 09:37:50
7,is_parent,Education,2,citypark,2019-01-22 09:37:50
60,7,Miscellaneous,2,citypark,2019-01-22 09:37:50
2,is_parent,Help At Home,2,citypark,2019-01-22 09:37:50
20,2,Cooking & Sewing,1,citypark,2019-01-22 09:37:50
25,2,Miscellaneous,1,citypark,2019-01-22 09:37:50
9,is_parent,Home,2,citypark,2019-01-22 09:37:50
74,9,Miscellaneous,2,citypark,2019-01-22 09:37:50
8,is_parent,"Arts, Crafts & Music",9,columbia,2019-01-22 09:37:50
62,8,Crafts,2,columbia,2019-01-22 09:37:50
64,8,Lessons,5,columbia,2019-01-22 09:37:50
67,8,Miscellaneous,2,columbia,2019-01-22 09:37:50
65,8,Photo & Video,1,columbia,2019-01-22 09:37:50
0,is_parent,Business Services,18,columbia,2019-01-22 09:37:50
328,0,Career Development/Job Searches,1,columbia,2019-01-22 09:37:50
75,0,Clerical,3,columbia,2019-01-22 09:37:50
76,0,Computer/IT Support,5,columbia,2019-01-22 09:37:50
79,0,Marketing,1,columbia,2019-01-22 09:37:50
8,0,Miscellaneous,7,columbia,2019-01-22 09:37:50
80,0,Research,2,columbia,2019-01-22 09:37:50
326,0,Writing/Editing/Proofreading,2,columbia,2019-01-22 09:37:50
4,is_parent,Community Activities,4,columbia,2019-01-22 09:37:50
35,4,Fund-raising,1,columbia,2019-01-22 09:37:50
39,4,Miscellaneous,2,columbia,2019-01-22 09:37:50
37,4,Special Projects,2,columbia,2019-01-22 09:37:50
3,is_parent,Companionship/Socializing,3,columbia,2019-01-22 09:37:50
29,3,Home Visits,1,columbia,2019-01-22 09:37:50
30,3,Medical Errands,2,columbia,2019-01-22 09:37:50
32,3,Miscellaneous,1,columbia,2019-01-22 09:37:50
7,is_parent,Education,27,columbia,2019-01-22 09:37:50
54,7,Advocacy,1,columbia,2019-01-22 09:37:50
55,7,Classes / Workshops,2,columbia,2019-01-22 09:37:50
56,7,Computers / Technology,3,columbia,2019-01-22 09:37:50
57,7,Languages / Translation,4,columbia,2019-01-22 09:37:50
60,7,Miscellaneous,8,columbia,2019-01-22 09:37:50
59,7,Tutoring / Mentoring,15,columbia,2019-01-22 09:37:50
2,is_parent,Help At Home,28,columbia,2019-01-22 09:37:50
9,2,Child Care,3,columbia,2019-01-22 09:37:50
20,2,Cooking & Sewing,6,columbia,2019-01-22 09:37:50
33,2,Decorating/Interior Design,1,columbia,2019-01-22 09:37:50
22,2,Housekeeping /Chores,1,columbia,2019-01-22 09:37:50
25,2,Miscellaneous,9,columbia,2019-01-22 09:37:50
318,2,Organizing,1,columbia,2019-01-22 09:37:50
23,2,Pet Care,7,columbia,2019-01-22 09:37:50
24,2,Respite Care,1,columbia,2019-01-22 09:37:50
9,is_parent,Home,13,columbia,2019-01-22 09:37:50
7,9,Garden & Yard Work,5,columbia,2019-01-22 09:37:50
74,9,Miscellaneous,6,columbia,2019-01-22 09:37:50
